date,sma20
2021-10-22 19:30:00,3.9249999999999995e-07
2021-10-22 19:45:00,3.935e-07
2021-10-22 20:00:00,3.9450000000000005e-07
2021-10-22 20:15:00,3.955e-07
2021-10-22 20:30:00,3.9650000000000004e-07
2021-10-22 20:45:00,3.97e-07
2021-10-22 21:00:00,3.975e-07
2021-10-22 21:15:00,3.98e-07
2021-10-22 21:30:00,3.985e-07
2021-10-22 21:45:00,3.985e-07
2021-10-22 22:00:00,3.98e-07
2021-10-22 22:15:00,3.985e-07
2021-10-22 22:30:00,3.99e-07
2021-10-22 22:45:00,3.99e-07
2021-10-22 23:00:00,3.99e-07
2021-10-22 23:15:00,3.995e-07
2021-10-22 23:30:00,3.995e-07
2021-10-22 23:45:00,3.995e-07
2021-10-23 00:00:00,3.995e-07
2021-10-23 00:15:00,3.995e-07
2021-10-23 00:30:00,3.99e-07
2021-10-23 00:45:00,3.99e-07
2021-10-23 01:00:00,3.99e-07
2021-10-23 01:15:00,3.985e-07
2021-10-23 01:30:00,3.985e-07
2021-10-23 01:45:00,3.98e-07
2021-10-23 02:00:00,3.98e-07
2021-10-23 02:15:00,3.98e-07
2021-10-23 02:30:00,3.98e-07
2021-10-23 02:45:00,3.98e-07
2021-10-23 03:00:00,3.985e-07
2021-10-23 03:15:00,3.98e-07
2021-10-23 03:30:00,3.975e-07
2021-10-23 03:45:00,3.98e-07
2021-10-23 04:00:00,3.975e-07
2021-10-23 04:15:00,3.97e-07
2021-10-23 04:30:00,3.97e-07
2021-10-23 04:45:00,3.97e-07
2021-10-23 05:00:00,3.97e-07
2021-10-23 05:15:00,3.9650000000000004e-07
2021-10-23 05:30:00,3.9650000000000004e-07
2021-10-23 05:45:00,3.9650000000000004e-07
2021-10-23 06:00:00,3.96e-07
2021-10-23 06:15:00,3.955e-07
2021-10-23 06:30:00,3.9500000000000003e-07
2021-10-23 06:45:00,3.955e-07
2021-10-23 07:00:00,3.949999999999999e-07
2021-10-23 07:15:00,3.9450000000000005e-07
2021-10-23 07:30:00,3.9399999999999995e-07
2021-10-23 07:45:00,3.935e-07
2021-10-23 08:00:00,3.9349999999999997e-07
2021-10-23 08:15:00,3.9300000000000004e-07
2021-10-23 08:30:00,3.93e-07
2021-10-23 08:45:00,3.9250000000000005e-07
2021-10-23 09:00:00,3.9250000000000005e-07
2021-10-23 09:15:00,3.9250000000000005e-07
2021-10-23 09:30:00,3.9250000000000005e-07
2021-10-23 09:45:00,3.9250000000000005e-07
2021-10-23 10:00:00,3.9300000000000004e-07
2021-10-23 10:15:00,3.93e-07
2021-10-23 10:30:00,3.9300000000000004e-07
2021-10-23 10:45:00,3.9249999999999995e-07
2021-10-23 11:00:00,3.9300000000000004e-07
2021-10-23 11:15:00,3.9349999999999997e-07
2021-10-23 11:30:00,3.9400000000000006e-07
