date,open,high,low,close,volume
2021-07-24 18:45:00,34251.60000000,34444.00000000,34250.60000000,34423.48000000,1302.92539700
2021-07-24 19:00:00,34423.49000000,34500.00000000,34331.87000000,34410.57000000,1185.46203100
2021-07-24 19:15:00,34413.00000000,34446.24000000,34275.24000000,34289.58000000,732.59325100
2021-07-24 19:30:00,34289.58000000,34361.55000000,34185.53000000,34202.66000000,501.40521800
2021-07-24 19:45:00,34202.67000000,34334.17000000,34185.46000000,34300.02000000,587.62254900
2021-07-24 20:00:00,34300.02000000,34404.75000000,34273.79000000,34378.56000000,576.87431100
2021-07-24 20:15:00,34378.56000000,34395.58000000,34290.88000000,34322.79000000,329.80688900
2021-07-24 20:30:00,34322.79000000,34361.55000000,34263.95000000,34327.46000000,300.52339200
2021-07-24 20:45:00,34327.46000000,34335.83000000,34236.01000000,34281.87000000,252.14307300
2021-07-24 21:00:00,34281.88000000,34281.88000000,34213.00000000,34253.64000000,295.18312400
2021-07-24 21:15:00,34253.65000000,34253.65000000,34035.69000000,34109.97000000,582.45766600
2021-07-24 21:30:00,34109.98000000,34128.10000000,33977.74000000,33997.73000000,416.32425000
2021-07-24 21:45:00,33997.70000000,33997.70000000,33703.73000000,33846.16000000,1242.72909400
2021-07-24 22:00:00,33846.16000000,33952.71000000,33810.04000000,33915.00000000,537.42554700
2021-07-24 22:15:00,33914.99000000,33915.00000000,33667.01000000,33786.30000000,556.22462400
2021-07-24 22:30:00,33786.30000000,33894.20000000,33751.04000000,33848.98000000,309.36859500
2021-07-24 22:45:00,33848.98000000,33932.85000000,33838.63000000,33919.84000000,287.90189400
2021-07-24 23:00:00,33919.85000000,33933.93000000,33829.94000000,33922.63000000,304.30062600
2021-07-24 23:15:00,33922.63000000,33934.00000000,33805.11000000,33875.33000000,282.81930000
2021-07-24 23:30:00,33875.34000000,33977.68000000,33871.89000000,33957.45000000,258.68010200
2021-07-24 23:45:00,33957.65000000,34143.84000000,33952.38000000,34096.66000000,463.47770500
2021-07-25 00:00:00,34096.65000000,34096.66000000,33856.00000000,33952.23000000,370.59160600
2021-07-25 00:15:00,33952.87000000,33999.99000000,33840.30000000,33903.64000000,357.75380500
2021-07-25 00:30:00,33903.65000000,33990.13000000,33870.55000000,33989.49000000,249.01477000
2021-07-25 00:45:00,33989.49000000,34035.17000000,33941.07000000,34021.87000000,275.07344900
