date,macd,signal,histogram
2021-08-09 00:30:00,0,0,0
2021-08-09 00:45:00,0,0,0
2021-08-09 01:00:00,0,0,0
2021-08-09 01:15:00,0,0,0
2021-08-09 01:30:00,0,0,0
2021-08-09 01:45:00,0,0,0
2021-08-09 02:00:00,0,0,0
2021-08-09 02:15:00,0,0,0
2021-08-09 02:30:00,0,0,0
2021-08-09 02:45:00,0,0,0
2021-08-09 03:00:00,0,0,0
2021-08-09 03:15:00,0,0,0
2021-08-09 03:30:00,0,0,0
2021-08-09 03:45:00,0,0,0
2021-08-09 04:00:00,0,0,0
2021-08-09 04:15:00,0,0,0
2021-08-09 04:30:00,0,0,0
2021-08-09 04:45:00,0,0,0
2021-08-09 05:00:00,0,0,0
2021-08-09 05:15:00,0,0,0
2021-08-09 05:30:00,0,0,0
2021-08-09 05:45:00,0,0,0
2021-08-09 06:00:00,0,0,0
2021-08-09 06:15:00,0,0,0
2021-08-09 06:30:00,0,0,0
2021-08-09 06:45:00,-0.00023193724107975489,0,0
2021-08-09 07:00:00,-0.00022424845229211676,0,0
2021-08-09 07:15:00,-0.00020960625649220355,0,0
2021-08-09 07:30:00,-0.00021473153036416504,0,0
2021-08-09 07:45:00,-0.00022834555940498547,0,0
2021-08-09 08:00:00,-0.0002514067438739581,0,0
2021-08-09 08:15:00,-0.00027833608505194174,0,0
2021-08-09 08:30:00,-0.000284217066487083,0,0
2021-08-09 08:45:00,-0.0002855059600161969,-0.0002453705438958228,-4.013541612037406e-05
2021-08-09 09:00:00,-0.0002870114354590475,-0.0002536987222084678,-3.3312713250579714e-05
2021-08-09 09:15:00,-0.00027829907080077765,-0.0002586187919269298,-1.9680278873847844e-05
2021-08-09 09:30:00,-0.0002495552059454398,-0.00025680607473063183,7.250868785192049e-06
2021-08-09 09:45:00,-0.00024676664851239205,-0.00025479818948698387,8.031540974591815e-06
2021-08-09 10:00:00,-0.00023841929840373588,-0.00025152241127033426,1.3103112866598378e-05
2021-08-09 10:15:00,-0.00022246146799491384,-0.0002457102226152502,2.3248754620336343e-05
2021-08-09 10:30:00,-0.0001990476525122742,-0.000236377708594655,3.7330056082380815e-05
2021-08-09 10:45:00,-0.00016120437653570352,-0.00022134304218286472,6.0138665647161197e-05
2021-08-09 11:00:00,-0.0001456724152830019,-0.00020620891680289216,6.0536501519890264e-05
2021-08-09 11:15:00,-9.841891384247681e-05,-0.00018465091621080911,8.623200236833231e-05
2021-08-09 11:30:00,-4.424116868147199e-05,-0.0001565689667049417,0.00011232779802346972
2021-08-09 11:45:00,-2.52216684136497e-05,-0.00013029950704668332,0.00010507783863303362
2021-08-09 12:00:00,1.1585309498907126e-05,-0.00010192254373756523,0.00011350785323647236
2021-08-09 12:15:00,4.595447670105446e-05,-7.23471396498413e-05,0.00011830161635089575
2021-08-09 12:30:00,5.241516921895839e-05,-4.739467787608136e-05,9.980984709503975e-05
2021-08-09 12:45:00,6.262323122907532e-05,-2.5391096055050024e-05,8.801432728412534e-05
2021-08-09 13:00:00,0.00010843726008338828,1.3745751726376342e-06,0.00010706268491075065
2021-08-09 13:15:00,0.00014636634525319603,3.0372929188749313e-05,0.00011599341606444672
2021-08-09 13:30:00,0.00017154307756284126,5.86069588635677e-05,0.00011293611869927356
